,NAME,GRADE,AGE,SKILL,STARCOLL,NUMOFF,POS,HEIGHT_IN,WEIGHT_LBS,COLLDIST_MI,NILVAL_LONG_USD,INSTA_LONG,TWIT_LONG,TIK_LONG,SPORT,RECRUIT_YEAR,EXP_MONTHS,EXP_YEARS,institution_name_short,ClassificationCode,REV_MEN,EXP_MEN
768,Kowacie Reeves,6.0,20.0,96.45,Florida,15.0,2.0,78.0,192.0,231.0,84000.0,130000.0,3300.0,1100.0,basketball,2021.0,26.0,2.1726027397260275,Florida,1.0,12687631.0,8415740.0
769,Cameron Boozer,0.0,16.0,99.68,Florida,14.0,5.0,81.0,205.0,292.0,325000.0,81000.0,393.0,16600.0,basketball,2025.0,0.0,0.0,Florida,1.0,12687631.0,8415740.0
770,Mikel Brown Jr.,0.0,16.0,97.5,Florida,17.0,1.0,73.0,150.0,95.0,165000.0,11700.0,1100.0,0.0,basketball,2025.0,0.0,0.0,Florida,1.0,12687631.0,8415740.0
771,Cayden Boozer,0.0,16.0,97.45,Florida,14.0,1.0,75.0,190.0,292.0,187000.0,40000.0,0.0,15900.0,basketball,2025.0,0.0,0.0,Florida,1.0,12687631.0,8415740.0
775,Alex Constanza,0.0,15.0,98.05,Florida,14.0,2.0,80.0,175.0,278.0,142000.0,2900.0,278.0,0.0,basketball,2026.0,0.0,0.0,Florida,1.0,12687631.0,8415740.0
944,Nate Ament,0.0,16.0,96.67,Virginia Tech,14.0,4.0,80.0,170.0,190.0,107000.0,1200.0,399.0,0.0,basketball,2025.0,0.0,0.0,Virginia Tech,1.0,12456695.0,8404702.0
949,Jordan Smith Jr.,0.0,15.0,96.93,Virginia Tech,2.0,2.0,75.0,175.0,200.0,78000.0,6900.0,220.0,0.0,basketball,2026.0,0.0,0.0,Virginia Tech,1.0,12456695.0,8404702.0
952,Jamier Jones,0.0,16.0,97.83,USF,11.0,4.0,78.0,180.0,48.0,194000.0,50000.0,641.0,0.0,basketball,2025.0,0.0,0.0,USF,1.0,4930060.0,4930060.0
969,AJ Dybantsa,0.0,15.0,99.89,Boston College,12.0,4.0,80.0,185.0,6.0,237000.0,80000.0,2700.0,28000.0,basketball,2026.0,0.0,0.0,Boston College,1.0,8333993.0,8674033.0
1124,Judah Mintz,4.0,19.1,95.35,Syracuse,14.0,3.0,75.0,172.0,289.0,96000.0,20000.0,3700.0,5200.0,basketball,2022.0,14.0,1.1726027397260275,Syracuse,1.0,34157191.0,14822271.0
1138,Isiah Harwell,0.0,16.0,98.62,BYU,25.0,2.0,77.0,190.0,189.0,216000.0,12100.0,528.0,811.0,basketball,2025.0,0.0,0.0,BYU,1.0,8568291.0,7992831.0
1154,Chidi Nwigwe,0.0,15.0,97.1,Penn State,1.0,4.0,77.0,180.0,201.0,108000.0,3000.0,446.0,1200.0,basketball,2026.0,0.0,0.0,Penn State,1.0,12010259.0,8626920.0
1158,Jasper Johnson,0.0,16.0,97.82,West Virginia,25.0,3.0,74.0,165.0,264.0,154000.0,0.0,2300.0,0.0,basketball,2025.0,0.0,0.0,West Virginia,1.0,8371424.0,9728135.0
1159,Naas Cunningham,0.0,17.0,95.66,West Virginia,25.0,4.0,79.0,180.0,315.0,83000.0,39000.0,1800.0,0.0,basketball,2024.0,0.0,0.0,West Virginia,1.0,8371424.0,9728135.0
1229,Eli Ellis,0.0,16.0,92.94,Winthrop,16.0,2.0,72.0,180.0,63.0,247000.0,327000.0,4200.0,591000.0,basketball,2025.0,0.0,0.0,Winthrop,3.0,1892777.0,1892777.0
